sequence,action,kind,source,target,width,height,mean,stddev
377,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/006-image008.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_377-2025-07_image008-att.png,,,,
378,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/007-image003.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_378-2025-07_image003-att.png,,,,
379,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/008-image001.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_379-2025-07_image001-att.png,,,,
380,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/008-image005.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_380-2025-07_image005-att.png,,,,
381,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/image001.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_381-2025-07_image001-att.png,,,,
382,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/image002.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_382-2025-07_image002-att.png,,,,
383,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/image003.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_383-2025-07_image003-att.png,,,,
384,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/image004.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_384-2025-07_image004-att.png,,,,
385,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/image005.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_385-2025-07_image005-att.png,,,,
386,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/image006.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_386-2025-07_image006-att.png,,,,
